question,intent
I am asking: am I well diversified,DIVERSIFICATION_QUESTION
I am asking: book a restaurant,UNKNOWN
I am asking: describe diversification,DIVERSIFICATION_QUESTION
I am asking: describe the portfolio construction,ALLOCATION_RATIONALE
I am asking: describe the portfolio risk level,PORTFOLIO_RISK_SUMMARY
I am asking: do I hold enough different assets,DIVERSIFICATION_QUESTION
I am asking: explain my diversification score,DIVERSIFICATION_QUESTION
I am asking: explain my risk numbers,PORTFOLIO_RISK_SUMMARY
I am asking: explain the overall allocation,ALLOCATION_RATIONALE
I am asking: explain the overall investment mix,ALLOCATION_RATIONALE
I am asking: explain the rejection of NTPC,EXPLAIN_STOCK_EXCLUSION
I am asking: explain the selected mix,ALLOCATION_RATIONALE
I am asking: explain the selection of NTPC,EXPLAIN_STOCK_INCLUSION
I am asking: explain why we do not own DIVISLAB,EXPLAIN_STOCK_EXCLUSION
I am asking: explain why we own DIVISLAB,EXPLAIN_STOCK_INCLUSION
I am asking: give me a risk summary,PORTFOLIO_RISK_SUMMARY
I am asking: give me the concentration breakdown,DIVERSIFICATION_QUESTION
I am asking: give me the portfolio rationale,ALLOCATION_RATIONALE
I am asking: give me world news,UNKNOWN
I am asking: help me buy a phone,UNKNOWN
I am asking: how balanced is the portfolio,DIVERSIFICATION_QUESTION
I am asking: how did the optimizer allocate my money,ALLOCATION_RATIONALE
I am asking: how diversified is my portfolio,DIVERSIFICATION_QUESTION
I am asking: how do I bake bread,UNKNOWN
I am asking: how does the portfolio change in a crash,HYPOTHETICAL_SHOCK
I am asking: how much risk am I taking,PORTFOLIO_RISK_SUMMARY
I am asking: how risky is my portfolio,PORTFOLIO_RISK_SUMMARY
I am asking: how spread out are my investments,DIVERSIFICATION_QUESTION
I am asking: how volatile are these holdings,PORTFOLIO_RISK_SUMMARY
I am asking: how would a 25% crash affect me,HYPOTHETICAL_SHOCK
I am asking: is my allocation concentrated,DIVERSIFICATION_QUESTION
I am asking: is one sector dominating,DIVERSIFICATION_QUESTION
I am asking: is this portfolio high risk,PORTFOLIO_RISK_SUMMARY
I am asking: justify including HDFCBANK,EXPLAIN_STOCK_INCLUSION
I am asking: justify leaving out HDFCBANK,EXPLAIN_STOCK_EXCLUSION
I am asking: play some music,UNKNOWN
I am asking: reason for excluding INDUSINDBK,EXPLAIN_STOCK_EXCLUSION
I am asking: reason for holding INDUSINDBK,EXPLAIN_STOCK_INCLUSION
I am asking: reoptimize after a 25% decline,HYPOTHETICAL_SHOCK
I am asking: run a falls scenario,HYPOTHETICAL_SHOCK
I am asking: run an inflation shock,HYPOTHETICAL_SHOCK
I am asking: set an alarm,UNKNOWN
I am asking: show a real market shock result,HYPOTHETICAL_SHOCK
I am asking: show movie times,UNKNOWN
I am asking: show my sharpe and volatility,PORTFOLIO_RISK_SUMMARY
I am asking: show stock and sector concentration,DIVERSIFICATION_QUESTION
I am asking: simulate a 20% market falls,HYPOTHETICAL_SHOCK
I am asking: simulate an interest rate increase,HYPOTHETICAL_SHOCK
I am asking: stress test a market drops,HYPOTHETICAL_SHOCK
I am asking: stress the Automobile sector,HYPOTHETICAL_SHOCK
I am asking: summarize my portfolio risk,PORTFOLIO_RISK_SUMMARY
I am asking: summarize the optimization decision,ALLOCATION_RATIONALE
I am asking: summarize why this portfolio was chosen,ALLOCATION_RATIONALE
I am asking: tell me a joke,UNKNOWN
I am asking: tell me about sector diversification,DIVERSIFICATION_QUESTION
I am asking: tell me the risk metrics,PORTFOLIO_RISK_SUMMARY
I am asking: tell me why TATASTEEL is excluded,EXPLAIN_STOCK_EXCLUSION
I am asking: tell me why TATASTEEL is included,EXPLAIN_STOCK_INCLUSION
I am asking: translate this sentence,UNKNOWN
I am asking: what determined the allocation,ALLOCATION_RATIONALE
I am asking: what does analytics say about risk,PORTFOLIO_RISK_SUMMARY
I am asking: what does the diversification metric mean,DIVERSIFICATION_QUESTION
I am asking: what drove these weights,ALLOCATION_RATIONALE
I am asking: what happens during a crash,HYPOTHETICAL_SHOCK
I am asking: what if inflation rises 5%,HYPOTHETICAL_SHOCK
I am asking: what if interest rates rise 20%,HYPOTHETICAL_SHOCK
I am asking: what if the Financial Services sector crashes,HYPOTHETICAL_SHOCK
I am asking: what if the market crashes,HYPOTHETICAL_SHOCK
I am asking: what is my portfolio diversity,DIVERSIFICATION_QUESTION
I am asking: what is my volatility,PORTFOLIO_RISK_SUMMARY
I am asking: what is quantum physics,UNKNOWN
I am asking: what is the capital of france,UNKNOWN
I am asking: what is the concentration level,DIVERSIFICATION_QUESTION
I am asking: what is the exclusion rationale for ITC,EXPLAIN_STOCK_EXCLUSION
I am asking: what is the inclusion rationale for ITC,EXPLAIN_STOCK_INCLUSION
I am asking: what is the logic behind the allocation,ALLOCATION_RATIONALE
I am asking: what is the maximum drawdown,PORTFOLIO_RISK_SUMMARY
I am asking: what is the realized risk,PORTFOLIO_RISK_SUMMARY
I am asking: what is the weather today,UNKNOWN
I am asking: what is your favorite color,UNKNOWN
I am asking: what kept LTIM out,EXPLAIN_STOCK_EXCLUSION
I am asking: what losses did the backtest show,PORTFOLIO_RISK_SUMMARY
I am asking: what made LTIM get selected,EXPLAIN_STOCK_INCLUSION
I am asking: what prevented a RELIANCE position,EXPLAIN_STOCK_EXCLUSION
I am asking: what supports the RELIANCE position,EXPLAIN_STOCK_INCLUSION
I am asking: who won the football match,UNKNOWN
I am asking: why are the weights like this,ALLOCATION_RATIONALE
I am asking: why did I get these holdings,ALLOCATION_RATIONALE
I am asking: why did the optimizer choose TCS,EXPLAIN_STOCK_INCLUSION
I am asking: why did the optimizer reject TCS,EXPLAIN_STOCK_EXCLUSION
I am asking: why did you exclude SUNPHARMA,EXPLAIN_STOCK_EXCLUSION
I am asking: why did you include SUNPHARMA,EXPLAIN_STOCK_INCLUSION
I am asking: why does my allocation contain MARUTI,EXPLAIN_STOCK_INCLUSION
I am asking: why does my allocation omit MARUTI,EXPLAIN_STOCK_EXCLUSION
I am asking: why is BHARTIARTL missing from my holdings,EXPLAIN_STOCK_EXCLUSION
I am asking: why is BHARTIARTL one of my holdings,EXPLAIN_STOCK_INCLUSION
I am asking: why is EICHERMOT in my portfolio,EXPLAIN_STOCK_INCLUSION
I am asking: why is EICHERMOT not in my portfolio,EXPLAIN_STOCK_EXCLUSION
